E amp
1.3776 0.00000
1.3930 0.00000
1.4089 0.00000
1.4251 0.00000
1.4416 0.00000
1.4586 0.00000
1.4760 0.00000
1.4937 0.00000
1.5120 0.00000
1.5306 0.00000
1.5497 0.00000
1.5694 0.00000
1.5895 0.00000
1.6101 0.00000
1.6313 0.00000
1.6531 0.00000
1.6754 0.00000
1.6984 0.00000
1.7219 0.00000
1.7462 0.00000
1.7711 0.00000
1.7968 0.00000
1.8232 0.00000
1.8504 0.00000
1.8785 0.00000
1.9074 0.00000
1.9372 0.00000
1.9679 0.00000
1.9997 0.00000
2.0325 0.00000
2.0663 0.00000
2.1014 0.00000
2.1376 0.00000
2.1751 0.00000
2.2139 0.00000
2.2542 0.00000
2.2959 0.00000
2.3392 0.00000
2.3842 0.00000
2.4310 0.00000
2.4796 0.00336
2.5302 0.01466
2.5829 0.02871
2.6379 0.04328
2.6952 0.06822
2.7551 0.11101
2.8177 0.18534
2.8833 0.28374
2.9519 0.42875
3.0239 0.64257
3.0995 0.90365
3.1790 0.99851
3.2626 0.81198
3.3508 0.24271
3.4439 0.04360
3.5423 0.00132
3.6465 0.00000
3.7570 0.00000
3.8744 0.00000
3.9994 0.00000
