wavlen eff
320 2.4366
325 4.3385
330 7.1330
335 10.8974
340 14.4056
345 17.9428
350 20.9949
355 22.8963
360 24.5493
365 26.1290
370 27.5752
375 29.2177
380 30.8843
385 32.3217
390 33.6083
395 34.6863
400 35.3607
405 36.0115
410 36.7131
415 37.3030
420 37.9108
425 38.4304
430 38.7876
435 39.0566
440 39.3743
445 39.6660
450 39.9570
455 40.1333
460 40.1282
465 40.0457
470 39.9100
475 39.7657
480 39.5872
485 39.4368
490 39.2348
495 38.9765
500 38.6863
505 38.2941
510 37.8955
515 37.3511
520 36.7750
525 36.2196
530 35.5752
535 34.8891
540 34.2279
545 33.5739
550 32.8269
555 32.2095
560 31.5522
560 31.5522
565 30.9009
570 30.2351
575 29.5733
580 28.8747
585 28.2557
590 27.5538
595 26.9142
600 26.2583
605 25.7264
610 25.1192
615 24.6580
620 23.9663
620 23.9663
625 23.2875
630 22.5413
635 21.7219
640 21.0302
645 20.4718
650 19.8961
655 19.3649
660 18.8114
665 18.3470
670 17.8552
675 17.3901
680 16.9420
685 16.4349
690 15.9653
695 15.5584
700 15.1766
705 14.8178
710 14.3770
715 14.0075
720 13.6014
725 13.2025
730 12.7758
735 12.3198
740 12.0011
745 11.5982
750 11.2225
755 10.9172
760 10.5410
765 10.2028
770 9.8349
775 9.5028
780 9.2792
785 8.9682
790 8.6703
795 8.4216
800 8.1200
805 7.8202
810 7.5295
815 7.3035
820 7.0104
825 6.7775
830 6.5723
835 6.3182
840 6.0286
845 5.8231
850 5.5592
855 5.3414
860 5.1539
865 4.8766
870 4.6441
875 4.4406
880 4.2180
885 4.0179
890 3.8357
895 3.6516
900 3.4464
