wavlen E eff
900 1.38 0.03
890 1.39 0.04
880 1.41 0.04
870 1.43 0.05
860 1.44 0.05
850 1.46 0.06
840 1.48 0.06
830 1.49 0.07
820 1.51 0.07
810 1.53 0.08
800 1.55 0.08
790 1.57 0.09
780 1.59 0.09
770 1.61 0.10
760 1.63 0.11
750 1.65 0.11
740 1.68 0.12
730 1.70 0.13
720 1.72 0.14
710 1.75 0.14
700 1.77 0.15
690 1.80 0.16
680 1.82 0.17
670 1.85 0.18
660 1.88 0.19
650 1.91 0.20
640 1.94 0.21
630 1.97 0.22
620 2.00 0.24
610 2.03 0.25
600 2.07 0.26
590 2.10 0.28
580 2.14 0.29
570 2.18 0.30
560 2.21 0.32
550 2.25 0.33
540 2.30 0.34
530 2.34 0.36
520 2.38 0.37
510 2.43 0.38
500 2.48 0.39
490 2.53 0.39
480 2.58 0.40
470 2.64 0.40
460 2.70 0.40
450 2.76 0.39
440 2.82 0.39
430 2.88 0.38
420 2.95 0.37
410 3.02 0.35
400 3.10 0.33
390 3.18 0.30
380 3.26 0.27
370 3.35 0.24
360 3.44 0.21
350 3.54 0.14
340 3.65 0.06
330 3.76 0.02
320 3.87 0.00
310 4.00 0.00
