p E suffix dEdx dEdx_e dLdx dLdx_e
alpha 5.48MeV SY9700 147.538 0.237827 73023.6 1421.05
proton 10MeV SY9700 4.76101 0.439875 29282.8 854.201
proton 30MeV SY9700 1.76225 0.439859 14791.5 1276.28
proton 50MeV SY9700 1.47497 0.186691 10460.3 1456.47
proton 70MeV SY9700 0.805411 0.464912 8323.48 1538.09
proton 100MeV SY9700 0.595636 0.297853 6475.44 1695.57
proton 150MeV SY9700 0.536518 0.192836 4882.11 1599.82
proton 200MeV SY9700 0.523417 0.157092 3962.82 1397.85
proton 250MeV SY9700 0.518894 0.142641 3456.56 1392.19
proton 300MeV SY9700 0.509849 0.0987534 3115.68 1255.36
