p
971
idx PDG vx vy vz vt px py pz
0 2112 50.0527 -6.26036 1535 18.0316 8.91565 5.85152 306.577
1 22 -68.7098 -115.699 1535 7.01957 -0.00168512 -0.0129254 0.144389
2 2112 135.974 -172.766 1535 20.3741 29.8221 -29.1126 265.631
3 22 285.265 -282.04 1535 6962 0.411255 -0.139695 1.32236
4 2112 -56.8047 -108.919 1535 28.6874 -6.2382 -20.1136 178.114
5 22 34.1281 -54.8984 1535 7.01245 0.0568085 -0.312254 7.41561
6 2112 -90.113 152.835 1535 35.0401 1.58518 26.398 127.095
7 2112 191.171 -56.2676 1535 33.9299 13.1807 -1.87714 151.754
8 22 -275.833 -112.367 1535 388.768 -0.111217 -0.0410404 0.578339
9 22 -237.898 88.5595 1535 6.82577 -0.569877 0.310754 3.26346
10 2112 -238.375 -106.444 1535 21.2414 -41.2657 -24.1781 251.697
11 2112 276.963 -240.102 1535 17.082 65.6129 -50.88 329.053
12 22 -260.023 -154.788 1535 6.55078 -0.874633 -0.597833 6.13702
13 22 -58.3828 0.944352 1535 13.8371 -0.0221831 -0.00405519 0.6304
14 22 -2.37559 218.354 1535 8.20228 0.0033805 0.00300115 0.0483922
15 2112 11.8754 -209.08 1535 25.5642 2.30365 -28.02 203.751
16 22 -284.707 -228.875 1535 12.6003 -0.13726 -0.0985056 0.441524
17 2112 107.147 99.7602 1535 38.5451 13.9294 1.11505 128.449
18 22 -20.1767 -81.9047 1535 17.115 0.0748218 -0.0947363 2.21674
19 22 53.3359 136.835 1535 6.92251 0.12183 0.3713 4.87169
20 22 -222.375 -134.454 1535 6.94281 -0.630706 -0.387886 4.2069
21 2112 -180.285 55.2741 1535 15.1384 -39.4095 22.3732 385.618
22 22 -40.657 25.0298 1535 7.09531 -0.132841 0.385851 8.05134
23 22 204.941 -26.8077 1535 2494.74 0.342576 0.3665 4.79971
24 22 -70.7752 -4.97149 1535 6.79248 -0.343749 0.0550385 4.45096
25 2112 85.2391 -199.1 1535 21.1731 14.4011 -11.2599 256.734
26 22 -160.98 255.43 1535 7.18075 -0.116874 0.149941 0.864796
27 22 228.375 84.503 1535 6.88305 0.259354 0.0999696 1.47798
28 2112 209.355 -110.064 1535 18.7097 42.759 -36.2815 296.544
29 2112 61.4565 -55.1334 1535 27.4308 9.44944 -3.30035 188.439
30 22 -105.765 251.081 1535 133.692 -0.196481 0.204296 1.52168
31 22 -253.902 -175.214 1535 253.554 -0.210892 -0.334949 1.57142
32 2112 -103.742 52.4751 1535 19.1012 -14.536 5.05412 286.049
33 22 -254.403 115.282 1535 6.84284 -1.50192 0.738181 8.79514
34 2112 101.201 -84.5563 1535 19.6526 5.0233 -19.4493 278.427
35 2112 -217.876 290.116 1535 24.5003 -29.1361 35.3434 216.498
36 2112 206.32 -116.631 1535 31.7042 1.04941 -29.3929 164.233
37 2112 -128.322 123.642 1535 44.4256 -1.54674 4.43074 110.206
38 22 -56.113 236.6 1535 11.2984 -0.000740956 0.0379483 0.117108
39 22 242.527 247.564 1535 8.40049 0.0909531 0.0409731 0.293122
40 22 95.5719 243.656 1535 173.274 0.498074 1.55197 4.54267
41 22 -45.168 245.736 1535 8.05262 -0.0341211 0.0874186 0.191496
42 22 -50.8259 22.0084 1535 6.82606 -0.132355 0.00464467 2.32173
43 22 78.8645 4.21254 1535 8.73167 0.0444258 -0.10009 9.47768
44 2112 220.398 -117.386 1535 60.5618 5.20571 -12.4103 79.8115
45 22 55.6623 -188.452 1535 7.25881 0.0768239 -0.136157 0.698241
46 2112 -88.7444 -78.1717 1535 16.4532 -20.0694 -8.1157 343.582
47 22 206.232 84.3015 1535 7.09348 0.875531 0.42868 6.09226
48 22 -58.237 214.965 1535 7.39275 -0.0021514 0.0142801 0.12305
49 22 295.928 44.8162 1535 7.63936 0.897708 0.040284 4.25035
50 22 -211.202 -128.372 1535 6.94015 -0.599322 -0.503138 4.28463
51 22 -248.605 268.672 1535 3373.13 -0.363818 0.173899 1.33766
52 22 -19.4431 -115.853 1535 6.4913 0.0620694 -0.566261 5.64376
53 22 206.77 203.783 1535 8.57342 0.0200914 0.00389953 0.0835253
54 2112 -105.617 -228.682 1535 15.7538 -21.9458 -57.9718 363.757
55 22 -241.627 -163.597 1535 525.009 -0.176002 -0.0480336 0.783701
56 2112 40.2748 -186.086 1535 25.857 6.62298 -23.2865 202.322
57 2112 20.3355 187.649 1535 21.806 6.29348 33.9852 244.513
58 22 252.197 268.48 1535 8.38262 0.0167172 0.0156443 0.0846629
59 22 -41.9693 280.693 1535 7.18546 0.00098643 0.0897766 0.30593
60 22 -121.861 -24.4135 1535 158.61 -0.524928 -0.0488968 2.47346
61 22 -38.4001 191.278 1535 7.29214 -0.0160638 0.0269422 0.442033
62 2112 51.9359 179.925 1535 37.1076 5.89503 15.4822 133.981
63 22 -170.315 34.3481 1535 7.09193 -0.311635 -0.00602063 1.59392
64 2112 -219.526 226.968 1535 23.9353 -32.1177 34.4408 219.298
65 2112 115.134 138.77 1535 22.5062 7.28439 11.6436 243.167
66 22 8.4551 -295.249 1535 271.663 0.0249725 -0.0500094 0.19034
67 22 44.7929 171.821 1535 7.02297 0.21966 0.663126 6.54088
68 22 -109.55 36.292 1535 6.37283 -0.729481 0.37166 8.06562
69 22 61.9913 -109.559 1535 11.9876 -0.00161633 0.000885272 0.0372222
70 22 -17.4067 144.724 1535 6.87308 -0.0820585 0.292561 3.70172
71 2112 246.989 69.8862 1535 22.8516 43.8695 5.85721 231.149
72 22 -288.768 -90.3544 1535 7.29033 -0.00523528 0.00341109 0.03617
73 2112 129.878 202.93 1535 26.5888 25.1234 29.5391 194.594
74 22 281.172 285.952 1535 441.441 0.268724 0.150576 1.00918
75 22 11.221 133.153 1535 157.86 0.259302 0.710784 4.76623
76 22 -184.181 -105.805 1535 6.86041 -0.293456 -0.216453 2.29543
77 22 229.06 157.972 1535 8.706 0.0366652 0.0131117 0.138381
78 22 -222.198 260.702 1535 6.91232 -0.584741 0.775858 4.0652
79 22 -269.902 170.935 1535 7.07907 -0.330586 0.261433 1.29733
80 22 148.123 142.064 1535 8.33632 0.5034 0.42115 3.87665
81 2112 -0.561139 83.9554 1535 26.9951 3.65242 13.7615 191.265
82 22 98.8022 -298.686 1535 7.26831 0.0255035 -0.0439606 0.319414
83 22 130.151 -40.3069 1535 6.92137 0.408324 -0.25294 4.55188
84 2112 -209.379 -178.52 1535 81.8137 -15.1488 -2.83472 50.0652
85 2112 196.092 295.824 1535 26.3127 18.5072 38.0972 196.717
86 2112 -226.028 265.517 1535 17.7472 -32.0415 40.4091 317.263
87 2112 135.461 113.414 1535 35.7256 17.6543 24.1001 128.913
88 22 -17.3365 -259.334 1535 7.07948 -0.0787374 -0.139299 2.00705
89 22 -218.307 -185.792 1535 11.3175 -0.295602 0.104109 1.27856
90 2212 28.4373 -47.5772 1535 24.5889 -72.6022 -107.036 159.189
91 11 29.4027 -47.0138 1535 24.5629 0.0749596 -0.12746 0.144309
92 22 -25.8151 128.757 1535 119.469 -0.173003 0.300067 2.15455
93 22 -105.067 -175.63 1535 34.8737 -0.0136718 0.0125138 0.264673
94 22 203.498 80.7002 1535 319.521 0.0229746 0.0447897 0.245913
95 22 -123.985 -19.177 1535 6.91984 -0.212074 0.00232726 2.58209
96 22 -11.2762 143.702 1535 6.87406 -0.131281 0.301484 2.21147
97 22 -9.78839 161.628 1535 118.555 0.00986933 0.0523382 0.277545
98 22 237.272 -9.03197 1535 6.46322 0.528897 0.102466 4.0878
99 22 -128.181 134.437 1535 7.1237 -0.268516 0.335367 4.49043
100 22 -16.9926 -154.439 1535 6.66869 -0.113766 -0.382297 3.13938
101 22 58.4323 -48.6449 1535 7.52669 -0.00309778 0.00341329 0.0671845
102 22 -234.064 90.9107 1535 376.468 -0.430496 0.114795 2.13624
103 22 -123.416 152.585 1535 6.98338 -0.28666 0.538649 5.38409
104 2112 -96.4171 26.7707 1535 41.1885 -14.8974 10.3282 122.97
105 22 197.39 -118.192 1535 7.1954 0.0637786 -0.0769462 0.50113
106 22 218.477 -255.462 1535 7.19725 0.639207 -0.907515 4.89965
107 22 -180.073 270.287 1535 7.33075 -0.0399084 0.113346 0.68409
108 22 -80.8537 -47.8696 1535 6.9275 -0.207398 -0.0283538 5.29669
109 22 259.832 249.37 1535 7.81442 0.0478496 0.0184015 0.230265
110 22 170.535 -76.979 1535 7.25848 0.234189 0.150653 1.44494
111 22 -34.7773 267.658 1535 194.856 0.250146 1.74419 4.49282
112 22 111.64 288.72 1535 6.97797 0.221489 0.505812 2.906
113 2112 186.265 115.389 1535 33.423 14.7543 15.4271 150.284
114 22 168.871 -13.6923 1535 6.94365 0.612285 0.0683676 5.92969
115 2112 -24.2963 -27.8857 1535 16.6127 4.99833 -13.2489 344.367
116 22 216.415 262.082 1535 6.84976 0.664133 0.675369 5.02698
117 22 -296.559 67.833 1535 246.651 -0.00521748 -0.000447705 0.0236037
118 22 -49.7742 -3.86267 1535 7.08706 -0.0125604 0.00432393 0.156424
119 22 197.695 60.3028 1535 6.95489 0.831796 0.423445 6.10323
120 22 144.132 -182.25 1535 6.74045 0.597101 -0.76747 6.89674
121 22 44.549 160.595 1535 6.66372 -0.00834048 0.40425 4.50811
122 22 -38.9685 -60.5853 1535 6.85097 -0.306503 -0.330395 9.13659
123 22 -203.443 -11.8015 1535 7.703 -0.016773 -0.0231745 0.145262
124 22 -241.992 243.122 1535 7.04672 -1.17916 1.4347 8.90048
125 22 36.8169 -192.24 1535 230.575 -0.199465 -0.747136 4.37594
126 22 -87.8705 -68.7277 1535 1667.62 0.323975 -0.0640786 4.81458
127 22 248.8 171.223 1535 56.14 1.30404 1.14693 4.0913
128 22 208.441 32.6202 1535 6.76789 0.0243244 0.0304564 0.163454
129 22 143.114 214.047 1535 7.74565 0.00702017 0.00379947 0.0508584
130 22 -197.424 19.5769 1535 7.63774 -0.00634431 0.00613309 0.0348876
131 22 264.223 -55.5382 1535 6.92006 0.265944 -0.117621 1.56866
132 22 -94.1235 234.516 1535 9.45789 -0.00555554 0.024393 0.0711749
133 2112 -252.486 197.424 1535 23.8528 -43.0938 30.95 221.361
134 22 250.675 182.04 1535 357.224 0.0176229 0.0120273 0.0726273
135 22 -186.516 -176.23 1535 6128.27 -0.291536 -0.335442 2.17817
136 2112 -179.177 255.19 1535 28.8747 -47.025 35.0122 179.911
137 2112 -101.001 -84.3696 1535 21.5601 -21.1132 -23.8447 246.518
138 22 253.077 213.108 1535 6.98717 0.25283 0.220621 1.77687
